cart_id,customer_id,session_id,creation_date,status_update
1,1,72145,4/3/2024,49
2,2,7,2/20/2024,99
3,3,596,4/19/2024,38
4,4,20,8/14/2024,72
5,5,0371,6/25/2024,7
6,6,56956,10/10/2024,46
7,7,65842,2/19/2024,7
8,8,4532,12/14/2023,58
9,9,5569,7/21/2024,11
10,10,67189,9/29/2024,84
11,11,33416,5/19/2024,64
12,12,16977,11/6/2023,58
13,13,91330,11/15/2023,91
14,14,5,11/28/2023,94
15,15,26,9/9/2024,45
16,16,1,11/19/2023,8
17,17,4,3/25/2024,94
18,18,0,7/29/2024,16
19,19,190,9/21/2024,55
20,20,1,6/5/2024,21
21,21,07808,4/10/2024,28
22,22,163,2/11/2024,39
23,23,74219,8/2/2024,53
24,24,0580,11/26/2023,44
25,25,1687,10/18/2024,38
26,26,07,4/16/2024,53
27,27,3,4/22/2024,36
28,28,51,2/3/2024,66
29,29,99152,6/28/2024,83
30,30,63940,5/4/2024,69
31,31,686,2/20/2024,36
32,32,5229,4/4/2024,24
33,33,920,11/5/2023,11
34,34,6131,4/18/2024,10
35,35,007,8/5/2024,2
36,36,09,5/20/2024,32
37,37,26338,11/25/2023,55
38,38,55712,1/23/2024,60
39,39,80,11/17/2023,73
40,40,1133,1/28/2024,53
41,41,0,7/29/2024,61
42,42,4791,4/13/2024,24
43,43,881,7/28/2024,19
44,44,6734,2/9/2024,76
45,45,624,4/21/2024,15
46,46,908,1/6/2024,78
47,47,116,8/1/2024,40
48,48,7987,7/20/2024,52
49,49,28132,4/15/2024,31
50,50,62384,10/19/2024,23
51,51,8371,11/29/2023,35
52,52,51,6/15/2024,91
53,53,14917,12/27/2023,60
54,54,0721,8/19/2024,61
55,55,48400,4/8/2024,73
56,56,027,10/30/2024,80
57,57,290,11/16/2023,92
58,58,4196,8/21/2024,52
59,59,0,9/9/2024,6
60,60,46,1/12/2024,20
61,61,959,1/16/2024,72
62,62,774,2/26/2024,13
63,63,4770,11/27/2023,12
64,64,26365,11/7/2023,7
65,65,77,7/13/2024,15
66,66,3,5/27/2024,3
67,67,203,7/20/2024,97
68,68,985,8/10/2024,39
69,69,21873,5/22/2024,36
70,70,8899,12/3/2023,96
71,71,93,10/11/2024,81
72,72,5923,1/13/2024,30
73,73,000,1/10/2024,69
74,74,8,12/22/2023,49
75,75,51,6/25/2024,60
76,76,14263,6/29/2024,8
77,77,31031,8/10/2024,47
78,78,7,3/25/2024,61
79,79,59295,12/20/2023,98
80,80,9240,3/19/2024,41
81,81,28,5/20/2024,72
82,82,84,4/12/2024,4
83,83,14,6/11/2024,76
84,84,14,6/10/2024,19
85,85,24,3/19/2024,98
86,86,04229,3/12/2024,97
87,87,177,5/22/2024,7
88,88,0,1/24/2024,10
89,89,935,1/21/2024,55
90,90,3682,10/19/2024,84
91,91,89,1/2/2024,20
92,92,20,6/7/2024,56
93,93,098,7/31/2024,2
94,94,7554,9/16/2024,38
95,95,1703,6/12/2024,44
96,96,0,6/28/2024,95
97,97,79,1/20/2024,56
98,98,92230,9/1/2024,64
99,99,3591,8/21/2024,53
100,100,9,4/18/2024,36
