discount_id,product_id,discount_amount,discount_code,expiration_date
40,65,36,0093-3167,11/4/2023
5742,058,36,36987-1345,2/7/2024
166,63534,16,0310-0950,10/17/2024
3,6721,40,52810-501,12/15/2023
7,394,38,76349-002,7/20/2024
73756,7,17,0093-8741,5/26/2024
28,30632,25,16714-371,5/5/2024
57,4567,28,10742-8223,3/31/2024
98,67,10,65044-5128,10/3/2024
7,10,57,59467-318,10/17/2024
7332,81132,38,64380-726,10/2/2024
457,17811,15,12634-471,4/26/2024
4978,56082,47,43857-0073,11/23/2023
3,1,15,54868-6038,1/19/2024
2,84530,35,33261-337,2/11/2024
30765,73,25,64980-511,12/17/2023
955,03976,13,0143-2260,10/19/2024
4,2321,42,49348-616,6/22/2024
1496,3482,53,59898-180,10/13/2024
70,2,13,59779-084,6/1/2024
86,2,33,10812-304,3/23/2024
3,99547,36,65293-001,9/24/2024
51,13,50,10812-701,6/17/2024
7729,56174,55,0555-0956,3/29/2024
2,7590,16,54868-5965,7/31/2024
9154,96571,21,33342-072,8/17/2024
66201,022,36,54868-5551,9/28/2024
10933,0,29,36800-136,11/21/2023
31,8,30,42549-592,1/18/2024
789,6524,32,63548-0070,1/17/2024
886,89027,30,66184-400,5/15/2024
680,057,53,55154-1394,8/5/2024
49,4,40,41520-544,4/2/2024
6,368,14,66336-406,4/30/2024
5885,3029,52,46123-023,8/24/2024
8,35,59,98132-722,1/21/2024
40,672,33,55154-1340,5/11/2024
604,675,21,46287-009,5/23/2024
5780,23728,50,60512-6568,3/22/2024
9,64790,55,48433-200,9/24/2024
9,0209,41,45802-732,6/25/2024
08,7768,41,76271-004,10/12/2024
091,020,29,99207-300,7/10/2024
51,68837,53,43857-0258,7/16/2024
5,9230,13,0054-4721,12/22/2023
40,27344,33,49999-363,3/4/2024
9685,3,19,48951-6040,9/26/2024
83098,35206,35,64578-0073,12/28/2023
19496,978,60,60505-0158,7/31/2024
3,7416,49,36987-2873,3/17/2024
00,0,33,36987-1064,2/14/2024
2958,3,33,52731-7020,8/8/2024
89689,3711,26,63941-003,10/1/2024
62,595,54,62037-693,5/8/2024
165,83,19,0078-0560,2/5/2024
75959,3,22,54057-305,7/6/2024
960,441,44,50556-001,9/14/2024
3,42,27,51060-049,6/21/2024
6789,7,42,58503-038,11/26/2023
383,7260,54,15304-4085,3/8/2024
8,9652,57,43353-391,12/12/2023
570,275,13,0615-7546,2/11/2024
483,89113,19,53645-1030,7/24/2024
02314,49400,20,36987-2362,3/9/2024
76,766,41,11822-0521,3/15/2024
94650,4174,27,41163-618,1/30/2024
9,2,55,65044-3462,7/24/2024
82,58,21,60760-343,2/13/2024
33,8,38,55312-004,1/4/2024
55,635,36,49999-839,4/1/2024
6527,011,27,59762-1530,7/1/2024
0237,32,56,16590-257,4/4/2024
3,31,56,0536-2525,7/2/2024
98309,2499,31,75854-303,3/15/2024
1,854,54,41167-0574,2/12/2024
136,963,16,49967-135,7/3/2024
168,25400,24,10356-101,12/26/2023
6419,5198,30,54575-305,5/10/2024
23,91819,38,0603-3968,5/9/2024
02963,2036,60,68462-565,3/19/2024
84415,09800,43,24385-152,2/7/2024
1701,6621,38,50484-315,3/8/2024
3,637,41,55301-871,9/28/2024
602,5,28,59779-345,11/14/2023
01,1,11,33261-554,9/18/2024
2150,8,24,64117-765,10/4/2024
22538,266,10,11673-504,6/23/2024
829,924,14,0268-0646,6/27/2024
931,2498,15,0615-7706,10/27/2024
877,284,28,65862-658,5/20/2024
73,708,25,75862-005,2/25/2024
34,711,13,65954-531,9/28/2024
31,22808,48,21695-795,5/2/2024
75366,14,12,21130-798,9/20/2024
33,2342,43,0378-4883,11/25/2023
0,9131,23,55154-3434,11/30/2023
66129,74602,31,69072-060,8/24/2024
42477,50,28,51672-4047,7/9/2024
90,48,56,36987-1655,5/30/2024
4650,27324,49,63533-773,5/25/2024
