loyalty_program_id,customer_id,points_earned,points_redeemed,membership_level,enrollment_date
37556,1,37,76,7,7/12/2024
65473,2,88,65,4,3/14/2024
52,3,20,78,10,8/17/2024
5247,4,50,40,5,5/27/2024
88,5,23,49,7,2/13/2024
0025,6,69,71,7,7/6/2024
49,7,87,46,4,5/15/2024
8809,8,86,68,8,11/7/2023
18,9,51,14,8,11/28/2023
0,10,62,42,6,6/2/2024
33967,11,60,24,1,11/3/2023
8,12,51,15,4,9/29/2024
857,13,43,41,6,9/25/2024
17701,14,67,74,5,7/31/2024
4288,15,21,40,2,1/18/2024
862,16,35,87,3,7/14/2024
1370,17,60,12,8,2/7/2024
7854,18,45,20,2,9/14/2024
71708,19,28,47,3,8/3/2024
6,20,95,55,9,2/8/2024
36,21,55,34,3,7/15/2024
37,22,83,23,1,11/24/2023
864,23,71,59,7,1/17/2024
33718,24,37,53,1,1/14/2024
0874,25,26,15,8,8/23/2024
13,26,32,45,6,6/23/2024
2030,27,97,88,5,9/11/2024
723,28,10,63,3,10/31/2024
6,29,75,55,8,2/23/2024
849,30,21,11,6,9/8/2024
7,31,83,10,4,5/24/2024
49173,32,79,39,7,12/27/2023
2,33,76,28,6,6/4/2024
43,34,60,68,6,10/13/2024
65,35,14,65,1,9/10/2024
530,36,33,67,10,8/6/2024
8,37,65,11,5,11/12/2023
15799,38,89,55,1,11/10/2023
13634,39,31,12,5,5/1/2024
28634,40,62,17,1,7/3/2024
0290,41,28,68,6,3/22/2024
35447,42,13,20,6,1/28/2024
73582,43,52,49,10,7/3/2024
20983,44,66,14,10,9/9/2024
258,45,52,96,3,7/27/2024
75,46,38,31,5,3/14/2024
7,47,36,15,5,2/23/2024
7,48,78,62,5,7/15/2024
8043,49,55,15,8,6/6/2024
249,50,88,11,5,10/14/2024
62,51,61,91,10,2/27/2024
5927,52,15,83,6,6/5/2024
732,53,64,43,4,11/13/2023
61,54,66,94,5,5/7/2024
3,55,40,32,3,11/16/2023
8,56,33,22,4,9/14/2024
38,57,24,30,3,7/27/2024
83113,58,42,36,2,1/16/2024
998,59,50,95,9,2/11/2024
7,60,84,22,1,2/13/2024
6965,61,99,99,9,5/14/2024
43,62,51,83,6,4/29/2024
694,63,58,61,8,12/14/2023
90,64,66,49,8,3/19/2024
2,65,95,13,4,10/23/2024
884,66,49,16,2,9/4/2024
0,67,48,19,2,6/16/2024
5,68,100,27,8,7/23/2024
09,69,92,67,4,8/20/2024
14709,70,43,17,7,11/23/2023
1,71,27,19,3,6/10/2024
440,72,67,10,8,10/5/2024
5863,73,83,78,5,3/26/2024
554,74,92,88,3,6/11/2024
865,75,48,63,9,3/17/2024
334,76,63,57,10,7/25/2024
50,77,64,91,6,4/24/2024
4,78,69,59,9,1/1/2024
2300,79,79,82,1,3/3/2024
0936,80,19,50,9,4/22/2024
8,81,72,84,2,12/12/2023
29346,82,70,93,7,8/30/2024
583,83,23,92,1,1/2/2024
163,84,29,69,7,5/22/2024
77,85,79,15,9,9/4/2024
4124,86,18,71,3,2/17/2024
59793,87,64,65,10,11/15/2023
23,88,77,65,4,2/29/2024
1351,89,85,46,8,8/25/2024
93944,90,26,15,3,11/29/2023
280,91,21,77,5,2/13/2024
458,92,11,96,2,6/9/2024
0,93,72,61,3,10/16/2024
2,94,85,21,9,5/15/2024
40667,95,42,86,9,9/26/2024
0455,96,20,21,3,5/25/2024
1,97,81,50,9,4/8/2024
7,98,44,76,6,9/16/2024
4418,99,84,12,10,12/6/2023
451,100,71,78,4,5/2/2024
