order_item_id,order_id,product_id,quantity,total_purchase
83639,1,0,55,812
6,1823,217,32,835
221,0561,58932,25,667
2537,2,0,48,13
74827,761,05118,83,332
07,12022,7,12,808
03607,47032,3764,44,460
97516,96146,1565,11,272
6,75707,43826,90,810
0654,81629,5,18,199
14215,679,69,45,575
3053,412,7,9,762
7,54,17011,72,35
264,7733,775,18,242
75,13,7883,47,886
733,4,3,96,587
49,205,021,7,271
811,25,4,28,87
2,08298,062,9,341
42,9,698,42,979
44034,9,35766,70,123
8954,41950,0611,64,421
1319,806,18533,68,472
73,616,7,30,351
569,6585,9295,68,768
2601,4689,09,45,801
3,112,835,61,744
17565,9461,44,100,886
88259,22002,99,85,338
71165,67,03793,27,208
23959,1,1,4,752
78,1922,97757,4,254
08522,0,004,72,744
20815,897,94286,13,227
6,390,153,36,885
514,377,5,25,481
858,3,4,94,346
3,405,7,40,347
2228,3,8,92,486
69,2181,4424,76,449
559,954,3735,2,415
3,59246,0,92,747
5,746,76,100,389
866,7,5,95,916
4259,293,3368,93,938
796,4109,5099,43,956
8,40,539,54,44
051,5,168,8,211
5,1269,6,82,169
9,9348,89771,65,896
8,053,7602,87,127
1,46872,8,14,925
5213,982,460,53,799
5,4,269,98,231
5306,69280,7,97,487
5,1,512,50,669
29568,4,31,96,499
1544,92,87,18,215
11,6503,4,27,591
385,0996,6,51,533
05659,53579,2032,93,242
71,71906,34950,17,551
642,4,4,89,182
5095,19957,0690,52,382
76799,5,8789,46,693
40,7146,40,64,158
8803,82,0,23,205
7999,9,8,3,679
09886,505,782,16,398
9,16487,865,46,348
2,7798,74867,24,761
684,729,7190,19,955
5883,33369,62,8,890
14039,99,5279,6,297
185,79593,37169,43,626
4,458,1,59,154
9169,37,3,85,973
5198,9483,22265,49,995
563,48895,0692,77,974
1,5911,20540,70,334
194,8,7105,2,695
8,21793,0,52,833
5,26848,07207,54,7
44,91745,583,87,243
60,443,286,70,512
55263,232,9131,25,919
87,86587,31,13,596
40,63418,7208,57,536
92703,44406,06,60,704
032,84,9620,40,3
58,823,96,45,298
442,683,03,42,552
7,76,715,36,732
858,8,2,64,689
1928,16,2033,2,312
2544,4,36,93,200
26712,71663,295,25,55
1,215,230,6,556
3,27557,78,88,401
26270,91,93120,2,828
