order_status_id,order_id,status,total_amount
2139,84,false,841
8,53,false,907
44,669,false,210
0103,71543,true,152
1278,22126,false,874
13924,097,false,356
8,31045,false,167
675,5722,false,461
7178,17059,true,366
1,798,false,853
1197,49,false,273
89,07,true,450
358,6113,false,901
625,5620,true,20
52,31120,false,863
2267,1968,true,32
652,38230,true,694
9299,63620,false,642
4,39499,true,386
08,6830,true,13
17327,15908,true,805
12,5142,true,886
2624,1605,false,125
43,3,false,806
430,91,false,397
2958,96422,true,61
5036,61,false,381
71,869,true,584
6,5380,true,222
39242,92,true,122
3359,39,false,897
936,870,false,397
5,9,true,446
385,13139,true,440
29,49956,true,415
19861,463,true,677
2,877,true,269
2088,5,true,258
6,52,false,5
4,63,false,110
28,9602,false,426
25,20568,true,794
81,00,true,668
08,646,true,797
3330,867,true,657
5,08,true,44
557,5705,false,409
38930,94907,false,838
902,553,false,137
02,5,false,957
3178,2345,false,393
2,389,false,722
3777,3634,false,982
2946,271,true,857
4226,3914,false,232
5267,0048,true,987
9025,8996,false,39
0,23,false,886
63499,5,false,592
8,64228,true,748
3038,31348,false,355
1588,16,true,998
5,10,true,793
43178,20200,true,202
27298,3077,true,488
41695,140,true,668
8632,628,false,848
53,22,false,533
37027,35,false,616
07,93,true,338
8592,33,true,920
455,5,true,563
6,5,true,121
98036,7,false,947
34,57998,true,266
955,9,true,678
560,542,true,541
84771,6467,true,595
071,796,false,133
92396,3,false,912
69,82,true,354
0567,145,true,831
9,2,false,292
884,085,false,654
9,747,true,871
67206,4,false,419
42273,331,false,390
5099,253,true,828
69,9,true,108
63,172,false,319
38905,5887,false,698
559,87,true,911
14,83,false,156
620,752,true,582
59,06,true,718
9,8172,false,367
71167,8,false,286
22024,6272,true,879
968,23,true,334
1,964,false,407
