payment_id,order_id,payment_method_id,payment_amount,payment_date
1,9717,985,41,4/10/2024
2,78,49,980,11/5/2023
3,01,862,771,12/21/2023
4,60,1,252,7/19/2024
5,6601,76,615,11/13/2023
6,768,7,616,9/7/2024
7,2260,73,138,8/12/2024
8,4878,58,110,7/28/2024
9,9,88995,665,6/18/2024
10,1060,3,99,8/17/2024
11,6343,86,911,10/30/2024
12,5,14993,149,8/9/2024
13,88,0811,730,5/2/2024
14,698,39,788,3/20/2024
15,1,34464,537,9/23/2024
16,2,54,898,4/8/2024
17,6,5874,253,5/16/2024
18,0,72372,25,12/28/2023
19,471,599,950,1/16/2024
20,53003,6582,329,5/29/2024
21,136,0,349,10/6/2024
22,3,5,289,12/5/2023
23,667,8787,193,4/25/2024
24,84,7,698,11/11/2023
25,84513,767,415,2/1/2024
26,155,931,96,3/27/2024
27,45896,9,969,12/4/2023
28,4257,714,650,3/19/2024
29,28,17,425,1/27/2024
30,2130,865,307,2/4/2024
31,62045,94220,722,2/9/2024
32,3605,677,980,7/7/2024
33,21022,045,886,8/28/2024
34,91,3142,528,5/22/2024
35,38,50,750,1/7/2024
36,3,9,888,1/10/2024
37,96,1,846,1/9/2024
38,9124,5917,392,6/13/2024
39,45,4240,234,7/11/2024
40,6101,12,292,2/25/2024
41,2262,211,166,12/15/2023
42,1785,661,111,10/18/2024
43,5223,786,975,5/26/2024
44,41039,39629,391,6/27/2024
45,7,76,702,1/26/2024
46,948,2728,997,1/6/2024
47,89406,41,276,11/27/2023
48,84,44,186,4/17/2024
49,3,1984,785,6/26/2024
50,6916,23,603,5/7/2024
51,302,22318,440,7/10/2024
52,79340,6062,941,11/12/2023
53,5878,7,371,10/11/2024
54,0790,8233,264,1/1/2024
55,73384,650,588,3/12/2024
56,227,0465,545,1/13/2024
57,01391,7031,622,7/5/2024
58,93,16081,625,8/13/2024
59,8573,34,682,2/3/2024
60,4,8,476,11/25/2023
61,237,85846,672,10/30/2024
62,7,308,830,9/1/2024
63,8831,536,902,6/13/2024
64,37223,12434,501,3/24/2024
65,3677,215,771,12/17/2023
66,0,3960,707,8/28/2024
67,24770,3082,258,8/6/2024
68,76161,1576,307,1/2/2024
69,86,4,734,9/25/2024
70,586,5634,705,3/24/2024
71,74,240,644,4/2/2024
72,02,953,718,6/15/2024
73,666,552,291,4/29/2024
74,2243,9,141,7/18/2024
75,78941,67999,188,7/16/2024
76,247,050,147,3/30/2024
77,479,87,798,10/29/2024
78,62454,809,676,3/21/2024
79,09538,502,165,4/2/2024
80,71574,921,458,7/25/2024
81,13,44632,878,5/9/2024
82,4356,9632,728,2/4/2024
83,23394,41,640,12/27/2023
84,532,269,681,1/3/2024
85,649,40865,917,10/20/2024
86,572,64,212,10/11/2024
87,342,0,26,8/29/2024
88,54,315,999,9/21/2024
89,481,3,282,7/26/2024
90,62250,74,175,5/11/2024
91,2623,1,918,4/25/2024
92,49206,93439,592,3/4/2024
93,8,2375,722,7/24/2024
94,2885,3,580,11/13/2023
95,1138,66221,373,7/7/2024
96,03,32254,935,1/16/2024
97,1317,742,139,3/3/2024
98,007,574,569,6/26/2024
99,22040,85097,802,3/28/2024
100,2304,1,700,11/26/2023
