product_promotion_id,product_id,promotion_id
1,7246,274
2,6835,54181
3,363,99234
4,0529,0876
5,41,0073
6,29,34533
7,14,94
8,4,622
9,75078,4198
10,1968,8
11,5,52
12,0326,3915
13,796,16021
14,37,5
15,7,4
16,9,00
17,291,3
18,179,38
19,983,5
20,6236,02
21,012,80
22,8,070
23,515,861
24,0206,0
25,17112,37
26,6,20
27,2,4218
28,96,5
29,172,42
30,095,15
31,6378,2651
32,981,03
33,276,886
34,2,0
35,001,7663
36,4,79549
37,144,3447
38,2,028
39,4511,077
40,99,264
41,2365,9578
42,1254,78
43,076,00127
44,1937,92
45,3344,6
46,91,09
47,6,4918
48,81398,26
49,9,2146
50,50355,556
51,049,3437
52,66160,0
53,8656,95
54,75,29
55,1746,50773
56,6,86668
57,7005,3
58,250,4124
59,49677,193
60,2261,54603
61,0784,576
62,343,12
63,2974,3289
64,47482,3
65,14,214
66,463,391
67,8,5363
68,1,1
69,738,605
70,379,87219
71,9,4
72,144,1
73,28,643
74,3698,6964
75,8937,4
76,88769,00228
77,965,83819
78,1149,0
79,1,7
80,46,423
81,6001,29046
82,1,94553
83,1,35
84,488,738
85,387,7013
86,987,5
87,769,9909
88,89068,02756
89,42,894
90,5995,21
91,514,05
92,4008,57
93,8672,76
94,6,5
95,79854,9
96,4516,39303
97,787,240
98,5384,9142
99,149,52
100,412,455
