tax_id,tax_rate,tax_name,effective_date
8895,611,bamesbury0,11/12/2023
2720,297,bfateley1,1/22/2024
6,730,mmcduffie2,10/25/2024
790,898,hrosberg3,12/30/2023
9892,749,tshiell4,4/22/2024
0239,293,mrau5,3/18/2024
358,681,mchopy6,11/3/2023
57,997,barmistead7,9/2/2024
1124,261,ckalinsky8,11/26/2023
51,554,ahallagan9,8/15/2024
0882,267,rmatzela,5/23/2024
14,715,iandreazzib,9/14/2024
995,35,mcurrc,9/5/2024
1,33,ghulled,9/17/2024
0,917,hemanulssone,5/29/2024
501,968,hoffenerf,4/15/2024
106,1,aweakleyg,4/29/2024
07318,960,aoldroydh,5/20/2024
38,443,aabramskii,3/29/2024
153,160,cscotlandj,3/29/2024
434,719,bbinerk,2/4/2024
9,133,mgeevel,3/17/2024
42,865,twilacotm,4/22/2024
07654,644,knealonn,7/5/2024
49523,306,rwellfareo,12/30/2023
0929,381,bdudmeshp,9/12/2024
7877,891,zgreenrodq,7/27/2024
6971,191,tstrachanr,4/20/2024
41,731,wgarraltss,8/6/2024
279,210,ngrastyet,3/26/2024
25,813,khedonu,8/22/2024
36,145,aminsterv,1/10/2024
3,392,svankinw,7/16/2024
3,730,tlarkinx,12/16/2023
1,61,kbuttrumy,8/16/2024
005,8,eniavez,11/13/2023
71,116,epavyer10,7/17/2024
6199,535,cdarcy11,7/4/2024
765,237,cturmel12,9/25/2024
73,143,jdeville13,5/7/2024
6765,996,gfigin14,5/6/2024
5,115,ccrutcher15,8/3/2024
4,314,bgisborne16,8/6/2024
0,469,obrumwell17,2/6/2024
705,595,akilloran18,12/17/2023
52308,482,amougenel19,5/27/2024
16340,366,gbazylets1a,1/11/2024
7154,331,flembcke1b,1/23/2024
9813,666,pcunniffe1c,1/11/2024
2603,13,mhufton1d,2/15/2024
07,986,dbrunsdon1e,3/25/2024
9,334,aturgoose1f,1/4/2024
146,784,vpomery1g,1/12/2024
7,669,nhoyles1h,5/15/2024
50736,237,bmccory1i,10/5/2024
01,819,previtt1j,2/11/2024
903,717,ccolloff1k,7/4/2024
86,112,ebridal1l,9/3/2024
6562,694,bdotson1m,7/6/2024
73812,777,qklement1n,8/4/2024
1282,10,areame1o,12/30/2023
94128,460,jbauman1p,1/29/2024
7771,512,gpomfret1q,6/25/2024
42646,511,lkeir1r,10/25/2024
056,271,hgilling1s,5/24/2024
0158,367,cpechold1t,7/5/2024
41452,75,acicullo1u,12/6/2023
942,932,hcamoys1v,4/12/2024
57152,378,adudson1w,1/6/2024
665,614,cswale1x,5/11/2024
737,487,vescale1y,3/23/2024
56,354,rpinner1z,11/8/2023
0,875,jbinks20,7/16/2024
1,762,pwhyman21,11/21/2023
2080,734,mtidcombe22,1/26/2024
3,518,csagar23,1/30/2024
419,873,cdovermann24,1/1/2024
26340,567,ebenbough25,7/27/2024
4,29,dthoma26,7/22/2024
864,103,dlinch27,9/19/2024
9845,453,lhrishanok28,6/23/2024
48,368,jboydon29,3/8/2024
85,817,rlacelett2a,5/7/2024
86373,511,afilipic2b,11/11/2023
55,84,bjirieck2c,1/27/2024
78527,832,abeveredge2d,5/2/2024
8521,276,rparratt2e,12/13/2023
94,657,lspata2f,4/23/2024
262,708,dollerhead2g,1/4/2024
178,4,mhassard2h,8/11/2024
9,13,aeilhersen2i,9/29/2024
5172,216,tmahaddie2j,7/7/2024
1110,162,ebenfield2k,5/22/2024
5,462,mcreek2l,4/28/2024
895,731,kmathely2m,5/30/2024
5,987,mnewgrosh2n,11/19/2023
028,546,bduggan2o,2/1/2024
88746,883,dwennington2p,3/26/2024
62,776,cwhewell2q,9/13/2024
35,767,cwhitlock2r,5/23/2024
